id,str
1,[1]
2,[3]
3,[2]
4,[4]
5,[5]
6,[1]
7,[3,7]
8,[1,12]
9,[12]
10,[9]
11,[9]
12,[12]
13,[12]
14,[12]
15,[3,11]
16,[3,23]
17,[4,9]
18,[3,20]
19,[10]
20,[8]
21,[10]
22,[10]
23,[22]
24,[1,13]
25,[2,10]
26,[2,14]
27,[2,8]
28,[3,6]
29,[4,15]
30,[5,12]
31,[5,13]
32,[9]
33,[10]
1000,[12,107]
1001,[12,29,96]
1002,[13,112]
1003,[10,24,96]
1004,[10,30,103]
1005,[14,113]
1006,[11,112]
1007,[11,113]
1008,[6,104]
1009,[9,107]
1010,[9,31,96]
1011,[15,112]
1012,[32,92]
1013,[7,92]
1014,[7,32,110]
1015,[103]
1016,[109]
1017,[20,101]
1018,[108]
1019,[23,102]
1020,[67]
1021,[98]
1022,[108]
1023,[98]
1024,[10,98]
1025,[17,27,91]
1026,[18,107]
1027,[21,107]
1028,[12,16,100]
1029,[10,25,67]
1030,[10,19,108]
1031,[22,27,111]
1032,[26,107]
1033,[30,34,108]
1034,[30,34,67]
1035,[18,97]
1036,[10,19,69]
1037,[21,97]
1038,[12,21,82]
1039,[18,31,83]
1040,[18,28,96]
1041,[18,29,83]
1042,[28,29,56]
1043,[9,21,82]
1044,[18,26,82]
1045,[9,18,56]
1046,[21,28,96]
1047,[21,31,83]
1048,[12,28,83]
1049,[12,31,71]
1050,[28,107]
1051,[9,33,83]
1052,[33,107]
1053,[18,33,96]
1054,[9,12,97]
1055,[21,33,96]
1056,[19,25,96]
1057,[31,107]
1058,[31,33,56]
1059,[29,107]
1060,[30,98]
1061,[12,18,56]
1062,[9,16,84]
1063,[21,29,83]
1064,[98]
1065,[103]
1066,[67]
1067,[98]
1068,[8,22,91]
1069,[99]
1070,[99]
1071,[96]
1072,[96]
1073,[19,30,60]
1074,[105]
1075,[19,34,103]
1076,[34,98]
1077,[16,21,56]
1078,[25,98]
1079,[98]
1080,[19,24,85]
1081,[31,33,82]
1082,[28,31,82]
1083,[28,33,97]
1084,[28,29,82]
1085,[29,33,82]
1086,[29,31,97]
1087,[26,29,96]
1088,[12,26,84]
1089,[25,34,75]
1090,[34,96]
1092,[18,21,100]
1093,[28,100]
1094,[28,31,56]
1095,[16,28,83]
1096,[26,33,83]
