id,str
1,[1]
2,[1]
3,[2]
4,[1]
5,[1]
6,[2]
7,[2]
8,[1]
9,[1]
10,[1]
11,[1,2]
12,[1]
13,[1,2]
14,[1,2]
15,[1,2]
16,[1]
17,[1]
18,[1]
19,[1]
20,[2]
21,[1]
22,[1]
23,[2]
24,[1]
25,[1]
26,[1]
27,[1]
28,[1]
29,[1]
30,[1]
31,[1]
32,[2]
33,[1]
34,[1]
38,[]
39,[2]
40,[1]
41,[1]
42,[1]
44,[1]
45,[1]
46,[1]
47,[1]
52,[2]
53,[1]
54,[1]
55,[1]
56,[1]
57,[1]
58,[1]
59,[1]
60,[1]
61,[1]
62,[1]
63,[1]
64,[1]
65,[1]
66,[1]
67,[1]
68,[1]
69,[1]
70,[1]
71,[1]
72,[1]
73,[1]
74,[1]
75,[1]
76,[1]
77,[1]
78,[1]
79,[1]
80,[1]
81,[1]
82,[1]
83,[1]
84,[1]
85,[1]
86,[1]
87,[1]
88,[1]
89,[1]
90,[1]
91,[1]
92,[2]
93,[1]
94,[1]
95,[1]
96,[1]
97,[1]
98,[1]
99,[1]
100,[1]
101,[2]
102,[2]
103,[1]
104,[2]
105,[2]
106,[]
107,[1]
108,[1]
109,[1]
110,[2]
111,[1]
112,[1,2]
113,[1,2]
114,[1]
115,[1]
116,[1]
117,[1]
118,[1]
119,[2]
120,[1]
121,[1]
122,[1]
123,[2]
124,[2]
125,[1]
126,[1]
127,[1]
128,[1]
129,[1]
130,[1]
131,[1]
132,[1]
133,[1]
134,[1]
135,[1]
136,[1]
137,[1]
138,[1]
139,[1]
140,[1]
141,[1]
142,[1]
143,[1]
144,[1]
145,[1]
146,[1]
147,[1]
148,[1]
149,[1]
150,[1]
151,[1]
152,[1]
153,[1]
154,[1]
155,[1]
156,[1]
157,[1]
158,[1]
159,[1]
160,[1]
161,[1]
162,[1]
163,[1]
164,[1]
165,[1]
166,[1]
167,[1]
168,[1]
169,[2]
170,[2]
171,[1]
172,[1]
173,[1]
174,[2]
175,[1]
176,[1]
177,[2]
178,[]
179,[2]
180,[1]
181,[1]
182,[1]
183,[1]
184,[1]
185,[1]
186,[1]
187,[1]
188,[1]
189,[1]
190,[1]
191,[2]
192,[2]
193,[2]
194,[1]
195,[1]
196,[1]
197,[1]
198,[]
199,[1]
200,[1]
201,[]
202,[1]
203,[1]
204,[1]
205,[]
206,[1]
207,[1]
208,[1,2]
209,[1,2]
210,[1,2]
211,[1]
212,[1]
213,[1]
214,[1,2]
215,[1,2]
216,[1,2]
217,[1,2]
218,[1]
219,[1]
220,[1,2]
221,[1,2]
222,[2]
223,[2]
224,[1,2]
225,[2]
226,[2]
227,[2]
228,[1]
229,[1]
230,[1]
231,[1]
232,[1]
233,[1]
234,[1]
235,[1]
236,[1]
237,[1,2]
238,[1]
239,[1,2]
240,[1,2]
241,[1,2]
242,[1,2]
243,[1,2]
244,[1,2]
245,[2]
246,[1,2]
247,[2]
248,[2]
249,[1,2]
250,[1,2]
251,[1]
252,[1]
253,[1,2]
254,[2]
255,[1,2]
256,[1,2]
257,[1]
258,[1]
259,[1]
260,[]
261,[1]
262,[1]
263,[1]
264,[1]
265,[]
266,[]
267,[1]
268,[1]
269,[1]
270,[1]
271,[1]
272,[1]
273,[]
274,[1]
275,[1]
276,[1]
277,[1]
278,[]
279,[]
280,[]
281,[]
282,[1]
283,[1]
284,[2]
285,[2]
286,[1]
287,[1]
288,[1]
289,[2]
290,[1]
291,[1]
292,[1]
293,[]
294,[1]
295,[2]
296,[]
297,[]
298,[2]
299,[2]
300,[]
301,[]
302,[2]
303,[1]
304,[1]
305,[1]
306,[1,2]
307,[1,2]
308,[1]
309,[1,2]
310,[1,2]
311,[2]
312,[2]
313,[2]
314,[1]
315,[1,2]
316,[1,2]
317,[2]
318,[2]
319,[1,2]
320,[1,2]
321,[2]
322,[2]
323,[2]
324,[1]
325,[1]
326,[1,2]
327,[2]
328,[2]
329,[1]
330,[1,2]
331,[1]
332,[2]
333,[1]
334,[1]
335,[1]
336,[1]
337,[1]
338,[1,2]
339,[1,2]
340,[2]
341,[2]
342,[1,2]
343,[1]
344,[1,2]
345,[1]
346,[1,2]
347,[2]
348,[1,2]
349,[]
350,[2]
351,[2]
352,[1]
353,[]
354,[1]
355,[1,2]
356,[1,2]
357,[1]
358,[]
359,[]
360,[2]
361,[1]
362,[1]
363,[1]
364,[]
365,[2]
366,[2]
367,[1]
368,[2]
369,[2]
370,[2]
371,[2]
372,[2]
373,[2]
374,[2]
375,[2]
376,[2]
377,[2]
378,[]
379,[1]
380,[2]
381,[]
382,[2]
383,[]
384,[2]
385,[2]
386,[2]
387,[2]
388,[2]
389,[]
390,[]
