[R16Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
2 5 6 7 9 10 11 12 1 13 14 15 3 4 16 8 
3 6 5 8 10 9 12 11 13 1 15 14 2 16 4 7 
4 7 8 5 11 12 9 10 14 15 1 13 16 2 3 6 
5 9 10 11 1 13 14 15 2 3 4 16 6 7 8 12 
6 10 9 12 13 1 15 14 3 2 16 4 5 8 7 11 
7 11 12 9 14 15 1 13 4 16 2 3 8 5 6 10 
8 12 11 10 15 14 13 1 16 4 3 2 7 6 5 9 
9 1 13 14 2 3 4 16 5 6 7 8 10 11 12 15 
10 13 1 15 3 2 16 4 6 5 8 7 9 12 11 14 
11 14 15 1 4 16 2 3 7 8 5 6 12 9 10 13 
12 15 14 13 16 4 3 2 8 7 6 5 11 10 9 1 
13 3 2 16 6 5 8 7 10 9 12 11 1 15 14 4 
14 4 16 2 7 8 5 6 11 12 9 10 15 1 13 3 
15 16 4 3 8 7 6 5 12 11 10 9 14 13 1 2 
16 8 7 6 12 11 10 9 15 14 13 1 4 3 2 5 
[R16Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 1 5 1 5 1 5 5 1 5 5 
1 5 5 5 1 1 1 1 5 5 5 5 1 1 1 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 5 1 5 1 5 1 
1 1 5 1 1 5 1 5 1 5 1 5 5 1 5 5 
1 5 5 5 1 1 1 1 5 5 5 5 1 1 1 5 
1 1 5 1 1 5 1 5 1 5 1 5 5 1 5 5 
1 5 5 5 1 1 1 1 5 5 5 5 1 1 1 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 5 1 5 1 5 1 
1 5 1 5 1 5 1 5 5 1 5 1 5 1 5 1 
1 1 5 1 1 5 1 5 1 5 1 5 5 1 5 5 
1 5 5 5 1 1 1 1 5 5 5 5 1 1 1 5 
1 5 1 5 1 5 1 5 5 1 5 1 5 1 5 1 
