[R16Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 1 5 7 3 8 4 6 11 13 9 14 10 12 16 15
3 5 6 9 8 10 11 13 12 1 14 15 2 16 4 7
4 7 9 1 11 12 2 14 3 15 5 6 16 8 10 13
5 3 8 11 6 13 9 10 14 2 12 16 1 15 7 4
6 8 10 12 13 1 14 2 15 3 16 4 5 7 9 11
7 4 11 2 9 14 1 12 5 16 3 8 15 6 13 10
8 6 13 14 10 2 12 1 16 5 15 7 3 4 11 9
9 11 12 3 14 15 5 16 6 4 8 10 7 13 1 2
10 13 1 15 2 3 16 5 4 6 7 9 8 11 12 14
11 9 14 5 12 16 3 15 8 7 6 13 4 10 2 1
12 14 15 6 16 4 8 7 10 9 13 1 11 2 3 5
13 10 2 16 1 5 15 3 7 8 4 11 6 9 14 12
14 12 16 8 15 7 6 4 13 11 10 2 9 1 5 3
15 16 4 10 7 9 13 11 1 12 2 3 14 5 6 8
16 15 7 13 4 11 10 9 2 14 1 5 12 3 8 6
[R16Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 8 6 8 1 6 1 2 8 2 6 8 6 2 2
1 8 11 12 15 6 7 2 13 16 3 4 9 14 5 10
1 6 12 1 4 1 6 6 12 12 4 1 4 6 12 4
1 8 15 4 11 6 14 2 10 9 5 12 16 7 3 13
1 1 6 1 6 1 1 1 6 6 6 1 6 1 6 6
1 6 7 6 14 1 1 6 14 7 7 6 14 1 14 7
1 1 2 6 2 1 6 1 8 2 8 6 2 6 8 8
1 2 13 12 10 6 14 8 11 5 9 4 3 7 16 15
1 8 16 12 9 6 7 2 5 11 10 4 15 14 13 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1 6 4 1 12 1 6 6 4 4 12 1 12 6 4 12
1 8 9 4 16 6 14 2 3 15 13 12 11 7 10 5
1 6 14 6 7 1 1 6 7 14 14 6 7 1 7 14
1 2 5 12 3 6 14 8 16 13 15 4 10 7 11 9
1 2 10 4 13 6 7 8 15 3 16 12 5 14 9 11
