[R27Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
2 4 6 5 7 8 9 10 11 12 13 14 15 16 1 17 18 3 20 21 22 23 24 25 26 27 19 
3 6 19 8 10 20 12 21 14 22 16 23 17 24 18 25 26 27 11 13 15 1 2 4 5 7 9 
4 5 8 7 9 10 11 12 13 14 15 16 1 17 2 18 3 6 21 22 23 24 25 26 27 19 20 
5 7 10 9 11 12 13 14 15 16 1 17 2 18 4 3 6 8 22 23 24 25 26 27 19 20 21 
6 8 20 10 12 21 14 22 16 23 17 24 18 25 3 26 27 19 13 15 1 2 4 5 7 9 11 
7 9 12 11 13 14 15 16 1 17 2 18 4 3 5 6 8 10 23 24 25 26 27 19 20 21 22 
8 10 21 12 14 22 16 23 17 24 18 25 3 26 6 27 19 20 15 1 2 4 5 7 9 11 13 
9 11 14 13 15 16 1 17 2 18 4 3 5 6 7 8 10 12 24 25 26 27 19 20 21 22 23 
10 12 22 14 16 23 17 24 18 25 3 26 6 27 8 19 20 21 1 2 4 5 7 9 11 13 15 
11 13 16 15 1 17 2 18 4 3 5 6 7 8 9 10 12 14 25 26 27 19 20 21 22 23 24 
12 14 23 16 17 24 18 25 3 26 6 27 8 19 10 20 21 22 2 4 5 7 9 11 13 15 1 
13 15 17 1 2 18 4 3 5 6 7 8 9 10 11 12 14 16 26 27 19 20 21 22 23 24 25 
14 16 24 17 18 25 3 26 6 27 8 19 10 20 12 21 22 23 4 5 7 9 11 13 15 1 2 
15 1 18 2 4 3 5 6 7 8 9 10 11 12 13 14 16 17 27 19 20 21 22 23 24 25 26 
16 17 25 18 3 26 6 27 8 19 10 20 12 21 14 22 23 24 5 7 9 11 13 15 1 2 4 
17 18 26 3 6 27 8 19 10 20 12 21 14 22 16 23 24 25 7 9 11 13 15 1 2 4 5 
18 3 27 6 8 19 10 20 12 21 14 22 16 23 17 24 25 26 9 11 13 15 1 2 4 5 7 
19 20 11 21 22 13 23 15 24 1 25 2 26 4 27 5 7 9 16 17 18 3 6 8 10 12 14 
20 21 13 22 23 15 24 1 25 2 26 4 27 5 19 7 9 11 17 18 3 6 8 10 12 14 16 
21 22 15 23 24 1 25 2 26 4 27 5 19 7 20 9 11 13 18 3 6 8 10 12 14 16 17 
22 23 1 24 25 2 26 4 27 5 19 7 20 9 21 11 13 15 3 6 8 10 12 14 16 17 18 
23 24 2 25 26 4 27 5 19 7 20 9 21 11 22 13 15 1 6 8 10 12 14 16 17 18 3 
24 25 4 26 27 5 19 7 20 9 21 11 22 13 23 15 1 2 8 10 12 14 16 17 18 3 6 
25 26 5 27 19 7 20 9 21 11 22 13 23 15 24 1 2 4 10 12 14 16 17 18 3 6 8 
26 27 7 19 20 9 21 11 22 13 23 15 24 1 25 2 4 5 12 14 16 17 18 3 6 8 10 
27 19 9 20 21 11 22 13 23 15 24 1 25 2 26 4 5 7 14 16 17 18 3 6 8 10 12 
[R27Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 1 5 1 5 1 5 1 5 1 5 5 5 11 11 11 11 11 11 11 11 11 
1 5 11 11 1 1 5 5 11 11 1 1 5 5 11 11 1 5 5 11 1 5 11 1 5 11 1 
1 1 11 1 1 11 1 11 1 11 1 11 1 11 1 11 11 11 5 5 5 5 5 5 5 5 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 11 1 5 5 11 11 1 1 5 5 11 11 1 5 11 1 5 11 1 5 11 1 5 11 
1 1 5 1 1 5 1 5 1 5 1 5 1 5 1 5 5 5 11 11 11 11 11 11 11 11 11 
1 5 5 11 1 11 5 1 11 5 1 11 5 1 11 5 11 1 11 1 5 11 1 5 11 1 5 
1 1 11 1 1 11 1 11 1 11 1 11 1 11 1 11 11 11 5 5 5 5 5 5 5 5 5 
1 5 11 11 1 1 5 5 11 11 1 1 5 5 11 11 1 5 5 11 1 5 11 1 5 11 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 11 1 5 5 11 11 1 1 5 5 11 11 1 5 11 1 5 11 1 5 11 1 5 11 
1 1 5 1 1 5 1 5 1 5 1 5 1 5 1 5 5 5 11 11 11 11 11 11 11 11 11 
1 5 5 11 1 11 5 1 11 5 1 11 5 1 11 5 11 1 11 1 5 11 1 5 11 1 5 
1 1 11 1 1 11 1 11 1 11 1 11 1 11 1 11 11 11 5 5 5 5 5 5 5 5 5 
1 5 11 11 1 1 5 5 11 11 1 1 5 5 11 11 1 5 5 11 1 5 11 1 5 11 1 
1 5 1 11 1 5 5 11 11 1 1 5 5 11 11 1 5 11 1 5 11 1 5 11 1 5 11 
1 5 5 11 1 11 5 1 11 5 1 11 5 1 11 5 11 1 11 1 5 11 1 5 11 1 5 
1 11 5 5 1 1 11 11 5 5 1 1 11 11 5 5 1 11 11 5 1 11 5 1 11 5 1 
1 11 11 5 1 5 11 1 5 11 1 5 11 1 5 11 5 1 5 1 11 5 1 11 5 1 11 
1 11 1 5 1 11 11 5 5 1 1 11 11 5 5 1 11 5 1 11 5 1 11 5 1 11 5 
1 11 5 5 1 1 11 11 5 5 1 1 11 11 5 5 1 11 11 5 1 11 5 1 11 5 1 
1 11 11 5 1 5 11 1 5 11 1 5 11 1 5 11 5 1 5 1 11 5 1 11 5 1 11 
1 11 1 5 1 11 11 5 5 1 1 11 11 5 5 1 11 5 1 11 5 1 11 5 1 11 5 
1 11 5 5 1 1 11 11 5 5 1 1 11 11 5 5 1 11 11 5 1 11 5 1 11 5 1 
1 11 11 5 1 5 11 1 5 11 1 5 11 1 5 11 5 1 5 1 11 5 1 11 5 1 11 
1 11 1 5 1 11 11 5 5 1 1 11 11 5 5 1 11 5 1 11 5 1 11 5 1 11 5 
