[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
2 6 8 9 13 7 14 15 16 17 18 19 26 32 21 25 33 34 35 27 36 41 42 28 37 1 44 45 46 47 48 5 38 39 40 49 50 51 52 53 54 55 56 3 4 61 62 63 20 24 67 68 69 59 60 70 64 65 71 72 10 11 12 74 75 76 29 30 31 73 77 78 79 22 23 80 57 58 81 43 66 
3 8 10 11 20 15 21 17 18 7 22 23 27 36 33 34 14 41 42 29 38 25 43 30 39 44 46 47 1 57 58 49 32 54 55 51 52 5 59 60 37 56 40 61 62 2 64 65 67 68 13 71 72 50 70 53 4 66 24 73 6 74 75 9 76 12 26 77 78 69 28 79 31 16 80 19 45 81 48 35 63 
4 9 11 12 24 16 25 18 19 22 23 5 28 37 34 35 41 42 13 30 39 43 20 31 40 45 47 48 57 58 7 50 54 55 26 52 53 59 60 1 56 27 29 62 63 64 65 14 68 69 71 72 2 70 44 46 66 21 73 3 74 75 32 76 36 38 77 78 6 61 79 8 10 80 49 51 81 15 17 67 33 
5 13 20 24 7 26 1 27 28 29 30 31 14 2 44 45 46 47 48 21 3 57 58 25 4 32 36 37 38 39 40 6 61 62 63 8 9 10 11 12 64 65 66 49 50 51 52 53 15 16 17 18 19 74 75 76 59 60 22 23 67 68 69 71 72 73 33 34 35 80 41 42 43 77 78 79 54 55 56 81 70 
6 7 15 16 26 14 32 21 25 33 34 35 1 5 36 37 38 39 40 44 49 54 55 45 50 2 3 4 61 62 63 13 51 52 53 20 24 67 68 69 59 60 70 8 9 10 11 12 27 28 29 30 31 71 72 73 74 75 77 78 17 18 19 22 23 80 46 47 48 79 57 58 81 41 42 43 64 65 66 56 76 
7 14 21 25 1 32 5 36 37 38 39 40 2 13 49 50 51 52 53 3 20 59 60 4 24 6 8 9 10 11 12 26 67 68 69 27 28 29 30 31 71 72 73 15 16 17 18 19 44 45 46 47 48 77 78 79 22 23 57 58 33 34 35 41 42 43 61 62 63 81 64 65 66 54 55 56 74 75 76 70 80 
8 15 17 18 27 21 36 33 34 14 41 42 44 49 38 39 32 54 55 46 51 37 56 47 52 3 61 62 2 64 65 20 5 59 60 67 68 13 71 72 50 70 53 10 11 6 74 75 29 30 26 77 78 24 73 69 9 76 28 79 7 22 23 16 80 19 1 57 58 31 45 81 48 25 43 35 4 66 63 40 12 
9 16 18 19 28 25 37 34 35 41 42 13 45 50 39 40 54 55 26 47 52 56 27 48 53 4 62 63 64 65 14 24 59 60 1 68 69 71 72 2 70 44 46 11 12 74 75 32 30 31 77 78 6 73 3 61 76 36 79 8 22 23 5 80 49 51 57 58 7 10 81 15 17 43 20 67 66 21 33 29 38 
10 17 7 22 29 33 38 14 41 21 25 43 46 51 32 54 36 37 56 1 5 39 40 57 59 61 2 64 3 4 66 67 49 50 70 13 71 20 24 73 52 53 60 6 74 8 9 76 26 77 27 28 79 68 69 72 11 12 30 31 15 16 80 18 19 23 44 45 81 78 47 48 58 34 35 42 62 63 65 55 75 
11 18 22 23 30 34 39 41 42 25 43 20 47 52 54 55 37 56 27 57 59 40 29 58 60 62 64 65 4 66 21 68 50 70 44 71 72 24 73 3 53 46 1 74 75 9 76 36 77 78 28 79 8 69 61 2 12 38 31 10 16 80 49 19 51 5 45 81 15 6 48 17 7 35 67 13 63 33 14 26 32 
12 19 23 5 31 35 40 42 13 43 20 24 48 53 55 26 56 27 28 58 60 29 30 7 1 63 65 14 66 21 25 69 70 44 45 72 2 73 3 4 46 47 57 75 32 76 36 37 78 6 79 8 9 61 62 64 38 39 10 11 80 49 50 51 52 59 81 15 16 74 17 18 22 67 68 71 33 34 41 77 54 
13 26 27 28 14 1 2 44 45 46 47 48 32 6 3 4 61 62 63 36 8 64 65 37 9 5 49 50 51 52 53 7 10 11 12 15 16 17 18 19 74 75 76 20 24 67 68 69 21 25 33 34 35 22 23 80 71 72 41 42 29 30 31 77 78 79 38 39 40 43 54 55 56 57 58 81 59 60 70 66 73 
14 32 36 37 2 5 13 49 50 51 52 53 6 26 20 24 67 68 69 8 27 71 72 9 28 7 15 16 17 18 19 1 29 30 31 44 45 46 47 48 77 78 79 21 25 33 34 35 3 4 61 62 63 57 58 81 41 42 64 65 38 39 40 54 55 56 10 11 12 66 74 75 76 59 60 70 22 23 80 73 43 
15 21 33 34 44 36 49 38 39 32 54 55 3 20 51 52 5 59 60 61 67 50 70 62 68 8 10 11 6 74 75 27 13 71 72 29 30 26 77 78 24 73 69 17 18 7 22 23 46 47 1 57 58 28 79 31 16 80 45 81 14 41 42 25 43 35 2 64 65 48 4 66 63 37 56 40 9 76 12 53 19 
16 25 34 35 45 37 50 39 40 54 55 26 4 24 52 53 59 60 1 62 68 70 44 63 69 9 11 12 74 75 32 28 71 72 2 30 31 77 78 6 73 3 61 18 19 22 23 5 47 48 57 58 7 79 8 10 80 49 81 15 41 42 13 43 20 67 64 65 14 17 66 21 33 56 27 29 76 36 38 46 51 
17 33 14 41 46 38 51 32 54 36 37 56 61 67 5 59 49 50 70 2 13 52 53 64 71 10 6 74 8 9 76 29 20 24 73 26 77 27 28 79 68 69 72 7 22 15 16 80 1 57 44 45 81 30 31 78 18 19 47 48 21 25 43 34 35 42 3 4 66 58 62 63 65 39 40 55 11 12 75 60 23 
18 34 41 42 47 39 52 54 55 37 56 27 62 68 59 60 50 70 44 64 71 53 46 65 72 11 74 75 9 76 36 30 24 73 3 77 78 28 79 8 69 61 2 22 23 16 80 49 57 58 45 81 15 31 10 6 19 51 48 17 25 43 20 35 67 13 4 66 21 7 63 33 14 40 29 26 12 38 32 1 5 
19 35 42 13 48 40 53 55 26 56 27 28 63 69 60 1 70 44 45 65 72 46 47 14 2 12 75 32 76 36 37 31 73 3 4 78 6 79 8 9 61 62 64 23 5 80 49 50 58 7 81 15 16 10 11 74 51 52 17 18 43 20 24 67 68 71 66 21 25 22 33 34 41 29 30 77 38 39 54 57 59 
20 27 29 30 21 44 3 46 47 1 57 58 36 8 61 62 2 64 65 38 10 4 66 39 11 49 51 52 5 59 60 15 6 74 75 17 18 7 22 23 9 76 12 67 68 13 71 72 33 34 14 41 42 16 80 19 24 73 25 43 26 77 78 28 79 31 32 54 55 35 37 56 40 45 81 48 50 70 53 63 69 
21 36 38 39 3 49 20 51 52 5 59 60 8 27 67 68 13 71 72 10 29 24 73 11 30 15 17 18 7 22 23 44 26 77 78 46 47 1 57 58 28 79 31 33 34 14 41 42 61 62 2 64 65 45 81 48 25 43 4 66 32 54 55 37 56 40 6 74 75 63 9 76 12 50 70 53 16 80 19 69 35 
22 41 25 43 57 54 59 37 56 39 40 29 64 71 50 70 52 53 46 4 24 60 1 66 73 74 9 76 11 12 38 77 68 69 61 28 79 30 31 10 72 2 3 16 80 18 19 51 45 81 47 48 17 78 6 8 23 5 58 7 34 35 67 42 13 20 62 63 33 15 65 14 21 55 26 27 75 32 36 44 49 
23 42 43 20 58 55 60 56 27 40 29 30 65 72 70 44 53 46 47 66 73 1 57 21 3 75 76 36 12 38 39 78 69 61 62 79 8 31 10 11 2 64 4 80 49 19 51 52 81 15 48 17 18 6 74 9 5 59 7 22 35 67 68 13 71 24 63 33 34 16 14 41 25 26 77 28 32 54 37 45 50 
24 28 30 31 25 45 4 47 48 57 58 7 37 9 62 63 64 65 14 39 11 66 21 40 12 50 52 53 59 60 1 16 74 75 32 18 19 22 23 5 76 36 38 68 69 71 72 2 34 35 41 42 13 80 49 51 73 3 43 20 77 78 6 79 8 10 54 55 26 67 56 27 29 81 15 17 70 44 46 33 61 
25 37 39 40 4 50 24 52 53 59 60 1 9 28 68 69 71 72 2 11 30 73 3 12 31 16 18 19 22 23 5 45 77 78 6 47 48 57 58 7 79 8 10 34 35 41 42 13 62 63 64 65 14 81 15 17 43 20 66 21 54 55 26 56 27 29 74 75 32 33 76 36 38 70 44 46 80 49 51 61 67 
26 1 44 45 32 2 6 3 4 61 62 63 5 7 8 9 10 11 12 49 15 74 75 50 16 13 20 24 67 68 69 14 17 18 19 21 25 33 34 35 22 23 80 27 28 29 30 31 36 37 38 39 40 41 42 43 77 78 54 55 46 47 48 57 58 81 51 52 53 56 59 60 70 64 65 66 71 72 73 76 79 
27 44 46 47 36 3 8 61 62 2 64 65 49 15 10 11 6 74 75 51 17 9 76 52 18 20 67 68 13 71 72 21 7 22 23 33 34 14 41 42 16 80 19 29 30 26 77 78 38 39 32 54 55 25 43 35 28 79 37 56 1 57 58 45 81 48 5 59 60 40 50 70 53 4 66 63 24 73 69 12 31 
