id,str
1,1,[32,1],[32,1],[1]
2,1,[32,1],[R16_2,R2_2],[3]
3,1,[32,1],[32,1],[2]
4,1,[32,1],[32,1],[4]
5,1,[32,1],[32,1],[1]
6,1,[32,1],[32,1],[1]
7,1,[32,1],[R16_10,R2_2],[3,21]
8,1,[32,1],[32,1],[1,5]
9,1,[R8_1,R4_4],[32,1],[1,5]
10,1,[R8_1,R4_4],[32,1],[4,5]
11,1,[R8_1,R4_4],[32,1],[4,5]
12,1,[R8_1,R4_4],[32,1],[1,5]
13,1,[32,1],[32,1],[1,5]
14,1,[32,1],[32,1],[1,5]
15,1,[32,1],[R16_10,R2_2],[3,13]
16,1,[R8_2,R4_8],[R16_10,R2_2],[3,15]
17,1,[32,1],[32,1],[4,5]
18,1,[R8_2,R4_7],[R16_10,R2_2],[3,20]
19,1,[R8_4,R4_4],[32,1],[2,16]
20,1,[32,1],[32,1],[2,23]
21,1,[32,1],[32,1],[2,16]
22,1,[R8_4,R4_4],[32,1],[2,16]
23,1,[32,1],[32,1],[1,4,23]
24,1,[32,1],[R16_1,R2_2],[1,7]
25,1,[32,1],[32,1],[2,16]
26,1,[32,1],[R16_2,R2_2],[2,17]
27,1,[32,1],[32,1],[2,23]
28,1,[32,1],[R8_2,R4_10],[3,14]
29,1,[32,1],[R16_4,R2_2],[4,7]
30,1,[32,1],[32,1],[1,5]
31,1,[32,1],[R16_5,R2_2],[1,7]
32,1,[32,1],[32,1],[4,5]
33,1,[32,1],[32,1],[2,16]
34,1,[32,1],[32,1],[1,4,23]
35,1,[32,1],[32,1],[1,4,23]
36,1,[32,1],[R16_30,R2_2],[3,21]
37,1,[R8_1,R4_4],[32,1],[4,5]
38,1,[32,1],[32,1],[1,5]
39,1,[32,1],[32,1],[4,5]
40,1,[32,1],[32,1],[1,5]
5011,2,[R2_2],[R8_28,R4_10],[48,49]
5026,2,[R4_9],[R8_25,R4_10],[48,49]
5631,2,[R4_9],[R8_25,R4_10],[48,49]
5653,2,[R2_2],[R4_4,R8_51],[51]
