n,id,n0,n1,n2,mstr
32,1014,2,1,8,1,0,2,1
32,3012,3,1,4,2,2,0,2,0,1,1,0,0
32,3014,3,1,4,1,2,2,1,1,0,1,2,1
32,3070,2,8,12,0,0,0,1;0,0,0,2;1,0,0,0
32,3211,2,8,18,0,0,0,1;0,0,0,2;0,0,4,4
32,3220,2,8,18,0,0,0,1;0,0,0,2;0,0,1,1
32,3454,2,8,18,0,0,0,1;0,0,0,2;0,7,0,4
32,4209,2,8,18,0,0,0,1;0,0,0,2;2,0,0,1
32,4273,2,8,14,0,0,0,1;0,0,0,2;1,1,0,0
32,4456,2,8,6,0,0,0,1;0,0,0,2;0,1,0,4
32,4467,2,8,18,0,0,0,1;0,0,0,2;0,0,2,0
32,7288,2,8,18,0,0,0,1;0,0,0,2;4,0,0,1
32,7298,2,8,18,0,0,0,1;0,0,0,2;3,1,3,7
32,5009,3,1,2,1,0,0,0,0,1,1,0,1;0,0,0,1,0,0,1,0,1
32,5012,3,1,2,1,0,0,0,0,1,1,0,1;0,0,0,1,0,0,1,1,1
64,305,2,1,4,2,0,0,1;0,2,1,1
64,307,2,1,4,1,2,2,1;1,1,0,1
64,308,2,1,4,1,2,2,1;1,1,1,0
64,976,2,8,18,0,0,0,1;0,0,0,2;1,4,0,2
64,980,2,8,18,0,0,0,1;0,0,0,2;2,4,0,0
64,982,2,8,18,0,0,0,1;0,0,0,2;4,0,4,0
64,983,2,8,12,0,0,0,1;0,0,0,2;2,0,1,4
64,984,3,1,4,2,0,2,0,2,2,0,0,1;0,0,0,0,0,0,2,1,0
243,116,4,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
243,119,3,1,3,1,0,0,0,0,1,1,0,1;0,0,0,1,0,0,1,0,1
243,282,3,1,9,1,3,3,1,1,0,1,3,1
243,343,2,27,53,0,0,0,1;0,0,0,2;0,0,2,0
243,399,2,27,14,0,0,0,1;0,0,0,3;1,1,0,0
243,410,2,1,8,1,0,3,1
243,650,2,27,53,0,0,0,1;0,0,0,2;0,2,0,0
243,652,2,27,9,0,0,0,1;0,0,0,2;0,1,0,4
243,931,3,1,9,3,3,0,3,0,1,1,0,0
243,933,2,27,53,0,0,0,1;0,0,0,2;0,0,4,4
243,935,2,27,53,0,0,0,1;0,0,0,2;0,7,0,4
243,938,2,27,53,0,0,0,1;0,0,0,2;1,0,0,4
243,939,2,27,55,0,0,0,1;0,0,0,2;1,0,0,4
